"정본CSV행번호","업소명","소재지도로명주소","소재지지번주소","참고POI상호","참고POI도로명주소","참고POI지번주소","원본주소지도검색URL","참고POI지도검색URL","지도대조결과","검토결정","정본반영여부","감사제안위도","감사제안경도","비고"
"118","개성연출","경기도 동두천시 정장로31-12, 1층(생연동)","","<b>개성연출</b>","경기도 동두천시 정장로 31-12 . 1층","경기도 동두천시 생연동 650-14 . 1층","https://map.naver.com/p/search/%EA%B0%9C%EC%84%B1%EC%97%B0%EC%B6%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A0%95%EC%9E%A5%EB%A1%9C31-12%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EA%B0%9C%EC%84%B1%EC%97%B0%EC%B6%9C%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A0%95%EC%9E%A5%EB%A1%9C%2031-12%20.%201%EC%B8%B5","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"119","고미나 헤어모드","경기도 동두천시 동광로75-1(생연동)","","<b>고미나헤어모드</b>","경기도 동두천시 동광로 75-1 1층","경기도 동두천시 생연동 615-21 1층","https://map.naver.com/p/search/%EA%B3%A0%EB%AF%B8%EB%82%98%20%ED%97%A4%EC%96%B4%EB%AA%A8%EB%93%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C75-1%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EA%B3%A0%EB%AF%B8%EB%82%98%ED%97%A4%EC%96%B4%EB%AA%A8%EB%93%9C%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C%2075-1%201%EC%B8%B5","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"151","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","","<b>그린파크모텔</b>","경기도 동두천시 어수로 91-10","경기도 동두천시 생연동 690-8","https://map.naver.com/p/search/%EA%B7%B8%EB%A6%B0%ED%8C%8C%ED%81%AC%EB%AA%A8%ED%85%94%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C91-10%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EA%B7%B8%EB%A6%B0%ED%8C%8C%ED%81%AC%EB%AA%A8%ED%85%94%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C%2091-10","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"120","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","","<b>김희정헤어샵</b>","경기도 동두천시 지행로 65 동현프라자 202호","경기도 동두천시 지행동 695-3 동현프라자 202호","https://map.naver.com/p/search/%EA%B9%80%ED%9D%AC%EC%A0%95%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C65%2C%202%EC%B8%B5%28%EC%A7%80%ED%96%89%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EA%B9%80%ED%9D%AC%EC%A0%95%ED%97%A4%EC%96%B4%EC%83%B5%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C%2065%20%EB%8F%99%ED%98%84%ED%94%84%EB%9D%BC%EC%9E%90%20202%ED%98%B8","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"159","넓은공간","경기도 동두천시 평화로2910번길 82(상봉암동)","","<b>넓은공간</b>","경기도 동두천시 평화로2910번길 82","경기도 동두천시 상봉암동 8-4","https://map.naver.com/p/search/%EB%84%93%EC%9D%80%EA%B3%B5%EA%B0%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2910%EB%B2%88%EA%B8%B8%2082%28%EC%83%81%EB%B4%89%EC%95%94%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%84%93%EC%9D%80%EA%B3%B5%EA%B0%84%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2910%EB%B2%88%EA%B8%B8%2082","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"160","다복식당","경기도 동두천시 생연로177(생연동)","","<b>다복식당</b>","경기도 동두천시 생연로 177","경기도 동두천시 생연동 586-4","https://map.naver.com/p/search/%EB%8B%A4%EB%B3%B5%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C177%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%8B%A4%EB%B3%B5%EC%8B%9D%EB%8B%B9%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20177","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"163","대호숯불갈비","경기도 동두천시 중앙로265번길 19(생연동)","","<b>대호숯불갈비</b>","경기도 동두천시 중앙로265번길 19 대호숯불갈비","경기도 동두천시 생연동 659-32 대호숯불갈비","https://map.naver.com/p/search/%EB%8C%80%ED%98%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%2019%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%8C%80%ED%98%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%2019%20%EB%8C%80%ED%98%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"164","동태한그릇","경기도 동두천시 생연로155(생연동)","","<b>동태한그릇</b>","경기도 동두천시 생연로 155","경기도 동두천시 생연동 825-38","https://map.naver.com/p/search/%EB%8F%99%ED%83%9C%ED%95%9C%EA%B7%B8%EB%A6%87%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C155%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%8F%99%ED%83%9C%ED%95%9C%EA%B7%B8%EB%A6%87%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20155","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"187","롯데리아 동두천점","경기도 동두천시 중앙로270(생연동)","","<b>롯데리아 동두천점</b>","경기도 동두천시 중앙로 270","경기도 동두천시 생연동 595-1","https://map.naver.com/p/search/%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C270%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20270","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"123","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","","<b>리안헤어 동두천지행역점</b>","경기도 동두천시 지행로 56 스타월드빌딩 205호","경기도 동두천시 지행동 718-4 스타월드빌딩 205호","https://map.naver.com/p/search/%EB%A6%AC%EC%95%88%ED%97%A4%EC%96%B4%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C56%2C%20205%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%A6%AC%EC%95%88%ED%97%A4%EC%96%B4%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C%2056%20%EC%8A%A4%ED%83%80%EC%9B%94%EB%93%9C%EB%B9%8C%EB%94%A9%20205%ED%98%B8","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
